seed_id,seed,domain,syntactic_type,register,utterance_length,lexical_complexity,speech_phenomena,strategy,strategy_family,constrained_transform,utterance,semantic_similarity,perplexity
1,turn off the lights,smart_home,imperative,neutral,short,phrasal_verb,,llm_paraphrase,llm_paraphrase,,please switch off the lights,0.8467,99.49
1,turn off the lights,smart_home,imperative,neutral,short,phrasal_verb,,llm_paraphrase,llm_paraphrase,,can you dim the lights,0.533,128.06
1,turn off the lights,smart_home,imperative,neutral,short,phrasal_verb,,llm_paraphrase,llm_paraphrase,,could you turn the lights off,0.7308,29.55
1,turn off the lights,smart_home,imperative,neutral,short,phrasal_verb,,llm_paraphrase,llm_paraphrase,,let’s kill the lights,0.5988,2587.97
1,turn off the lights,smart_home,imperative,neutral,short,phrasal_verb,,llm_paraphrase,llm_paraphrase,,how about turning the lights off,0.8889,60.89
1,turn off the lights,smart_home,imperative,neutral,short,phrasal_verb,,llm_paraphrase,llm_paraphrase,,would you mind shutting off the lights,0.6573,70.33
1,turn off the lights,smart_home,imperative,neutral,short,phrasal_verb,,llm_paraphrase,llm_paraphrase,,turn the lights out please,0.8469,193.46
1,turn off the lights,smart_home,imperative,neutral,short,phrasal_verb,,llm_paraphrase,llm_paraphrase,,can you cut the lights,0.4363,258.45
1,turn off the lights,smart_home,imperative,neutral,short,phrasal_verb,,llm_paraphrase,llm_paraphrase,,please switch the lights off,0.8197,219.88
1,turn off the lights,smart_home,imperative,neutral,short,phrasal_verb,,llm_paraphrase,llm_paraphrase,,could you turn off the light please,0.6444,68.63
1,turn off the lights,smart_home,imperative,neutral,short,phrasal_verb,,llm_paraphrase,llm_paraphrase,,can you shut the lights off,0.6436,70.59
1,turn off the lights,smart_home,imperative,neutral,short,phrasal_verb,,llm_paraphrase,llm_paraphrase,,make sure to turn off the lights,0.7591,34.31
1,turn off the lights,smart_home,imperative,neutral,short,phrasal_verb,,llm_paraphrase,llm_paraphrase,,don't forget to switch off the lights,0.7562,27.41
1,turn off the lights,smart_home,imperative,neutral,short,phrasal_verb,,llm_paraphrase,llm_paraphrase,,would you mind turning the lights off,0.7068,46.36
1,turn off the lights,smart_home,imperative,neutral,short,phrasal_verb,,llm_paraphrase,llm_paraphrase,,please extinguish the lights,0.6228,126.09
1,turn off the lights,smart_home,imperative,neutral,short,phrasal_verb,,llm_paraphrase,llm_paraphrase,,let’s turn off the lights please,0.7042,743.1
1,turn off the lights,smart_home,imperative,neutral,short,phrasal_verb,,llm_paraphrase,llm_paraphrase,,could you kill the lights,0.5608,283.26
1,turn off the lights,smart_home,imperative,neutral,short,phrasal_verb,,llm_paraphrase,llm_paraphrase,,could you turn the lights off please,0.6861,56.49
1,turn off the lights,smart_home,imperative,neutral,short,phrasal_verb,,llm_paraphrase,llm_paraphrase,,please dim the lights,0.708,112.85
1,turn off the lights,smart_home,imperative,neutral,short,phrasal_verb,,llm_paraphrase,llm_paraphrase,,would you mind turning off the lights,0.7252,40.48
1,turn off the lights,smart_home,imperative,neutral,short,phrasal_verb,,llm_paraphrase,llm_paraphrase,,turn the lights off if you don’t mind,0.8033,187.86
1,turn off the lights,smart_home,imperative,neutral,short,phrasal_verb,,llm_paraphrase,llm_paraphrase,,could you make the lights go off,0.7071,54.0
1,turn off the lights,smart_home,imperative,neutral,short,phrasal_verb,,llm_paraphrase,llm_paraphrase,,let's turn off the lights,0.7777,107.16
1,turn off the lights,smart_home,imperative,neutral,short,phrasal_verb,,llm_paraphrase,llm_paraphrase,,please switch the lights out,0.7881,456.94
1,turn off the lights,smart_home,imperative,neutral,short,phrasal_verb,,llm_paraphrase,llm_paraphrase,,can you please dim the lights,0.6036,102.17
1,turn off the lights,smart_home,imperative,neutral,short,phrasal_verb,,llm_paraphrase,llm_paraphrase,,let's turn the lights down,0.6886,205.87
1,turn off the lights,smart_home,imperative,neutral,short,phrasal_verb,,llm_paraphrase,llm_paraphrase,,how about we turn off the lights,0.7782,40.06
1,turn off the lights,smart_home,imperative,neutral,short,phrasal_verb,,llm_paraphrase,llm_paraphrase,,can you cut the lights please,0.431,473.14
1,turn off the lights,smart_home,imperative,neutral,short,phrasal_verb,,llm_paraphrase,llm_paraphrase,,please turn those lights off,0.8121,99.93
1,turn off the lights,smart_home,imperative,neutral,short,phrasal_verb,,llm_paraphrase,llm_paraphrase,,could you switch the lights out,0.607,135.38
1,turn off the lights,smart_home,imperative,neutral,short,phrasal_verb,,llm_paraphrase,llm_paraphrase,,let's kill the lights,0.6126,518.06
1,turn off the lights,smart_home,imperative,neutral,short,phrasal_verb,,llm_paraphrase,llm_paraphrase,,could you shut off the lights,0.6597,64.93
1,turn off the lights,smart_home,imperative,neutral,short,phrasal_verb,,llm_paraphrase,llm_paraphrase,,let's turn the lights off,0.748,149.69
1,turn off the lights,smart_home,imperative,neutral,short,phrasal_verb,,llm_paraphrase,llm_paraphrase,,can you kill the lights,0.582,288.56
1,turn off the lights,smart_home,imperative,neutral,short,phrasal_verb,,llm_paraphrase,llm_paraphrase,,please turn off the lights,0.8627,38.73
1,turn off the lights,smart_home,imperative,neutral,short,phrasal_verb,,llm_paraphrase,llm_paraphrase,,would you turn the lights down,0.6522,62.9
1,turn off the lights,smart_home,imperative,neutral,short,phrasal_verb,,llm_paraphrase,llm_paraphrase,,how about switching off the lights,0.8415,82.21
1,turn off the lights,smart_home,imperative,neutral,short,phrasal_verb,,constrained:polar_question,constrained,polar_question,could you turn off the lights,0.7415,29.46
1,turn off the lights,smart_home,imperative,neutral,short,phrasal_verb,,constrained:polar_question,constrained,polar_question,can you turn off the lights,0.7134,38.4
1,turn off the lights,smart_home,imperative,neutral,short,phrasal_verb,,constrained:polite_imperative,constrained,polite_imperative,kindly turn off the lights,0.8454,96.55
1,turn off the lights,smart_home,imperative,neutral,short,phrasal_verb,,constrained:polite_imperative,constrained,polite_imperative,go ahead and turn off the lights,0.8379,56.57
1,turn off the lights,smart_home,imperative,neutral,short,phrasal_verb,,constrained:indirect_need,constrained,indirect_need,i need to turn off the lights,0.8087,37.48
1,turn off the lights,smart_home,imperative,neutral,short,phrasal_verb,,constrained:indirect_need,constrained,indirect_need,i want to turn off the lights,0.7652,43.9
1,turn off the lights,smart_home,imperative,neutral,short,phrasal_verb,,constrained:indirect_need,constrained,indirect_need,i'd like to turn off the lights,0.7398,34.4
1,turn off the lights,smart_home,imperative,neutral,short,phrasal_verb,,constrained:hedged_request,constrained,hedged_request,could you turn off the lights whenever you can,0.684,38.26
1,turn off the lights,smart_home,imperative,neutral,short,phrasal_verb,,constrained:hedged_request,constrained,hedged_request,if possible please turn off the lights,0.8188,165.02
1,turn off the lights,smart_home,imperative,neutral,short,phrasal_verb,,constrained:hedged_request,constrained,hedged_request,when you get a chance could you turn off the lights,0.673,45.8
1,turn off the lights,smart_home,imperative,neutral,short,phrasal_verb,,constrained:conditional,constrained,conditional,if you could would you turn off the lights,0.6366,125.94
1,turn off the lights,smart_home,imperative,neutral,short,phrasal_verb,,constrained:conditional,constrained,conditional,is it possible to turn off the lights,0.6907,28.78
1,turn off the lights,smart_home,imperative,neutral,short,phrasal_verb,,constrained:conditional,constrained,conditional,would you be able to turn off the lights,0.6331,15.37
1,turn off the lights,smart_home,imperative,neutral,short,phrasal_verb,,constrained:modal_would,constrained,modal_would,i would turn off the lights,0.7507,70.3
1,turn off the lights,smart_home,imperative,neutral,short,phrasal_verb,,constrained:modal_would,constrained,modal_would,you would turn off the lights,0.693,55.44
1,turn off the lights,smart_home,imperative,neutral,short,phrasal_verb,,constrained:modal_would,constrained,modal_would,they would turn off the lights,0.5594,39.19
1,turn off the lights,smart_home,imperative,neutral,short,phrasal_verb,,constrained:modal_should,constrained,modal_should,the lights should be turned off,0.8718,57.21
1,turn off the lights,smart_home,imperative,neutral,short,phrasal_verb,,constrained:modal_should,constrained,modal_should,the lights should be switched off,0.8373,67.7
1,turn off the lights,smart_home,imperative,neutral,short,phrasal_verb,,constrained:modal_should,constrained,modal_should,the lights should be dimmed,0.7188,71.05
1,turn off the lights,smart_home,imperative,neutral,short,phrasal_verb,,constrained:passive_voice,constrained,passive_voice,have the lights turned off,0.7213,61.61
1,turn off the lights,smart_home,imperative,neutral,short,phrasal_verb,,constrained:passive_voice,constrained,passive_voice,get the lights switched off,0.8378,180.08
1,turn off the lights,smart_home,imperative,neutral,short,phrasal_verb,,constrained:passive_voice,constrained,passive_voice,have the lights switched off,0.7303,104.98
1,turn off the lights,smart_home,imperative,neutral,short,phrasal_verb,,constrained:negative_framing,constrained,negative_framing,don't leave the lights on,0.8018,56.03
1,turn off the lights,smart_home,imperative,neutral,short,phrasal_verb,,constrained:negative_framing,constrained,negative_framing,make sure the lights aren't on,0.7334,40.27
1,turn off the lights,smart_home,imperative,neutral,short,phrasal_verb,,constrained:negative_framing,constrained,negative_framing,ensure the lights aren't on,0.8162,169.54
1,turn off the lights,smart_home,imperative,neutral,short,phrasal_verb,,constrained:progressive_desire,constrained,progressive_desire,i've been wanting you to turn off the lights,0.7256,58.75
1,turn off the lights,smart_home,imperative,neutral,short,phrasal_verb,,constrained:progressive_desire,constrained,progressive_desire,i was hoping you could turn off the lights,0.7805,62.78
1,turn off the lights,smart_home,imperative,neutral,short,phrasal_verb,,constrained:progressive_desire,constrained,progressive_desire,i've been asking you to turn off the lights,0.7993,42.89
1,turn off the lights,smart_home,imperative,neutral,short,phrasal_verb,,constrained:time_framed,constrained,time_framed,turn off the lights before i leave,0.8101,145.33
1,turn off the lights,smart_home,imperative,neutral,short,phrasal_verb,,constrained:time_framed,constrained,time_framed,turn off the lights for the night,0.8484,37.66
1,turn off the lights,smart_home,imperative,neutral,short,phrasal_verb,,constrained:time_framed,constrained,time_framed,turn off the lights once you're done,0.883,36.71
1,turn off the lights,smart_home,imperative,neutral,short,phrasal_verb,,constrained:reason_added,constrained,reason_added,i'm going to sleep so please turn off the lights,0.7175,43.06
1,turn off the lights,smart_home,imperative,neutral,short,phrasal_verb,,constrained:reason_added,constrained,reason_added,i'm heading out can you turn off the lights,0.6342,135.69
1,turn off the lights,smart_home,imperative,neutral,short,phrasal_verb,,constrained:reason_added,constrained,reason_added,it's getting late could you turn off the lights,0.7371,137.71
1,turn off the lights,smart_home,imperative,neutral,short,phrasal_verb,,constrained:abbreviated_spoken,constrained,abbreviated_spoken,shut off the lights,0.8727,82.1
1,turn off the lights,smart_home,imperative,neutral,short,phrasal_verb,,constrained:abbreviated_spoken,constrained,abbreviated_spoken,turn the lights off,0.9873,34.63
1,turn off the lights,smart_home,imperative,neutral,short,phrasal_verb,,constrained:abbreviated_spoken,constrained,abbreviated_spoken,switch off the lights,0.9216,146.42
1,turn off the lights,smart_home,imperative,neutral,short,phrasal_verb,,constrained:emphatic,constrained,emphatic,really make sure to turn off the lights,0.6444,27.88
1,turn off the lights,smart_home,imperative,neutral,short,phrasal_verb,,constrained:emphatic,constrained,emphatic,definitely turn off the lights,0.8411,231.63
1,turn off the lights,smart_home,imperative,neutral,short,phrasal_verb,,constrained:emphatic,constrained,emphatic,be sure to turn off the lights,0.7496,39.21
1,turn off the lights,smart_home,imperative,neutral,short,phrasal_verb,,constrained:confirmation_seeking,constrained,confirmation_seeking,please turn off the lights okay,0.7769,242.58
1,turn off the lights,smart_home,imperative,neutral,short,phrasal_verb,,constrained:confirmation_seeking,constrained,confirmation_seeking,can you turn off the lights alright,0.6967,200.55
1,turn off the lights,smart_home,imperative,neutral,short,phrasal_verb,,constrained:confirmation_seeking,constrained,confirmation_seeking,i need you to turn off the lights can you do that,0.7825,47.09
1,turn off the lights,smart_home,imperative,neutral,short,phrasal_verb,,mlm_substitution,mlm_substitution,,flip off the lights,0.8469,298.93
1,turn off the lights,smart_home,imperative,neutral,short,phrasal_verb,,mlm_substitution,mlm_substitution,,cut off the lights,0.7716,152.3
1,turn off the lights,smart_home,imperative,neutral,short,phrasal_verb,,mlm_substitution,mlm_substitution,,shutting off the lights,0.7436,49.65
1,turn off the lights,smart_home,imperative,neutral,short,phrasal_verb,,mlm_substitution,mlm_substitution,,turn off the clock,0.5738,100.29
1,turn off the lights,smart_home,imperative,neutral,short,phrasal_verb,,mlm_substitution,mlm_substitution,,turn off the engine,0.6099,73.12
